Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Arithmancy,Astronomy,Herbology,Defense,Divination,Muggle Studies,Ancient Runes,History,Transfiguration,Potions,Charms,Flying
0,Gryffindor,Student0,Name0,2000-01-01,Right,61.88,41.88,59.10,94.15,30.93,21.64,63.42,58.16,70.35,56.96,56.52,64.88
1,Hufflepuff,Student1,Name1,2000-01-01,Left,43.93,39.78,73.70,69.67,55.62,58.41,62.98,33.20,45.32,62.36,68.10,46.39
2,Ravenclaw,Student2,Name2,2000-01-01,Left,93.88,81.61,28.36,38.49,57.64,36.56,79.42,62.54,38.28,45.94,43.06,29.78
3,Slytherin,Student3,Name3,2000-01-01,Right,58.71,45.59,46.72,72.28,59.58,50.25,69.75,57.18,45.60,59.24,47.95,62.49
4,Gryffindor,Student4,Name4,2000-01-01,Left,69.98,31.60,47.89,64.18,43.83,41.12,17.09,81.12,47.80,40.25,48.48,38.54
5,Hufflepuff,Student5,Name5,2000-01-01,Right,55.50,58.80,65.27,60.85,63.71,94.82,64.30,45.86,41.57,42.53,69.28,41.50
6,Ravenclaw,Student6,Name6,2000-01-01,Left,70.41,84.25,48.41,74.82,72.13,45.93,74.96,100.00,58.46,54.61,71.91,52.11
7,Slytherin,Student7,Name7,2000-01-01,Right,64.11,34.84,58.55,65.72,68.40,44.55,89.30,44.62,78.90,71.73,47.26,38.07
8,Gryffindor,Student8,Name8,2000-01-01,Left,45.38,34.35,39.87,76.57,74.36,41.23,48.51,67.61,74.35,84.85,68.68,55.82
9,Hufflepuff,Student9,Name9,2000-01-01,Right,48.31,49.54,71.47,31.38,58.30,41.86,68.28,55.05,84.25,59.21,75.49,30.45
10,Ravenclaw,Student10,Name10,2000-01-01,Right,98.75,75.95,56.00,52.92,54.34,55.50,66.70,39.50,76.79,67.30,53.80,46.38
11,Slytherin,Student11,Name11,2000-01-01,Right,50.83,54.81,21.46,54.07,53.92,57.36,81.72,49.34,38.24,76.87,62.75,62.37
12,Gryffindor,Student12,Name12,2000-01-01,Right,40.78,34.28,56.07,75.66,37.65,42.06,74.63,33.36,69.98,59.76,54.92,55.90
13,Hufflepuff,Student13,Name13,2000-01-01,Left,72.94,47.31,44.10,54.49,58.45,50.88,68.07,64.11,35.08,62.77,52.06,27.75
14,Ravenclaw,Student14,Name14,2000-01-01,Right,82.41,73.83,34.12,80.26,60.08,64.74,50.11,69.98,62.97,66.19,79.38,42.47
15,Slytherin,Student15,Name15,2000-01-01,Right,55.41,48.50,73.52,59.87,83.61,38.37,65.26,42.64,44.64,70.94,50.76,58.04
16,Gryffindor,Student16,Name16,2000-01-01,Right,61.73,38.91,58.51,53.85,11.65,67.52,69.10,49.45,58.28,46.47,48.58,100.00
17,Hufflepuff,Student17,Name17,2000-01-01,Right,30.97,48.47,88.60,56.98,25.65,59.47,75.97,86.90,58.43,59.64,36.40,37.35
18,Ravenclaw,Student18,Name18,2000-01-01,Left,93.00,86.57,50.48,75.15,48.56,44.34,49.22,55.84,74.30,50.96,62.66,39.17
19,Slytherin,Student19,Name19,2000-01-01,Right,54.01,38.83,34.88,82.91,64.91,52.31,100.00,49.51,64.31,74.61,51.67,89.74
20,Gryffindor,Student20,Name20,2000-01-01,Right,60.46,30.09,70.56,93.77,39.06,30.24,71.78,48.25,87.62,56.36,53.24,86.08
21,Hufflepuff,Student21,Name21,2000-01-01,Right,59.94,60.55,84.89,61.86,52.14,80.24,52.95,45.09,42.19,46.23,22.51,52.34
22,Ravenclaw,Student22,Name22,2000-01-01,Right,83.17,73.63,49.79,56.25,62.83,33.83,63.15,89.59,49.98,49.94,70.92,50.36
23,Slytherin,Student23,Name23,2000-01-01,Right,75.51,39.31,55.05,42.91,54.68,51.28,48.50,79.99,63.51,41.46,63.29,48.89
24,Gryffindor,Student24,Name24,2000-01-01,Left,70.85,55.71,66.44,59.81,38.69,44.02,77.13,37.21,87.07,50.92,62.47,62.72
25,Hufflepuff,Student25,Name25,2000-01-01,Right,37.88,85.15,79.66,21.63,59.40,49.03,56.67,48.02,70.60,33.65,59.76,77.21
26,Ravenclaw,Student26,Name26,2000-01-01,Right,60.92,90.13,50.46,58.25,64.68,67.54,90.78,35.52,61.09,76.13,30.85,74.92
27,Slytherin,Student27,Name27,2000-01-01,Right,66.89,47.23,54.25,58.26,61.46,42.25,72.44,60.09,53.25,57.10,40.90,43.89
28,Gryffindor,Student28,Name28,2000-01-01,Right,39.80,34.68,54.78,69.16,61.65,41.59,45.29,25.76,53.17,42.46,80.05,74.43
29,Hufflepuff,Student29,Name29,2000-01-01,Right,43.62,81.80,67.61,37.55,49.41,74.32,44.73,62.23,60.92,66.24,76.00,41.74
30,Ravenclaw,Student30,Name30,2000-01-01,Right,60.51,56.58,49.59,54.87,56.34,70.48,45.83,54.46,49.18,58.54,68.84,66.54
31,Slytherin,Student31,Name31,2000-01-01,Right,62.61,41.23,60.55,69.17,40.91,34.95,70.43,27.26,50.01,60.53,56.05,58.17
32,Gryffindor,Student32,Name32,2000-01-01,Left,21.15,44.54,68.92,76.86,38.24,42.82,44.21,33.47,60.83,76.90,85.00,65.87
33,Hufflepuff,Student33,Name33,2000-01-01,Right,67.37,64.80,86.96,83.74,50.22,59.46,55.15,84.13,24.03,62.29,32.94,11.28
34,Ravenclaw,Student34,Name34,2000-01-01,Right,100.00,55.24,31.83,39.45,31.75,54.15,34.44,55.52,64.32,37.99,64.35,61.29
